epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,28903.4,1.03879,0.77677,1.10786,0.73029,0.68485,0.73952,0.45162,1.41575,1.17258,1.39329,0.0014852,0.0014852,0.0014852
80,29182.6,1.0699,0.76934,1.10731,0.82997,0.65085,0.74762,0.45566,1.35213,1.11897,1.33464,0.0014786,0.0014786,0.0014786
81,29465.5,1.06136,0.78714,1.14008,0.73696,0.64848,0.70738,0.43294,1.36511,1.23672,1.37738,0.001472,0.001472,0.001472
82,29733.2,1.05117,0.76123,1.1177,0.75671,0.64848,0.71876,0.44818,1.37095,1.23712,1.34525,0.0014654,0.0014654,0.0014654
83,30003.2,1.04917,0.76862,1.10638,0.75943,0.66962,0.74822,0.45996,1.40965,1.16709,1.37178,0.0014588,0.0014588,0.0014588
84,30268.8,1.01381,0.73219,1.07658,0.82113,0.62602,0.72404,0.45149,1.39433,1.16581,1.3791,0.0014522,0.0014522,0.0014522
85,30530.3,1.04936,0.7558,1.11605,0.72476,0.63837,0.69962,0.43546,1.42138,1.20393,1.41129,0.0014456,0.0014456,0.0014456
86,30795.3,1.04163,0.73349,1.11157,0.68179,0.64848,0.68805,0.41306,1.46745,1.19156,1.45297,0.001439,0.001439,0.001439
87,31080.6,1.02652,0.72601,1.10392,0.7573,0.62727,0.72255,0.4395,1.40375,1.20237,1.38813,0.0014324,0.0014324,0.0014324
88,31365.2,1.00784,0.7246,1.10992,0.76967,0.64805,0.71526,0.43627,1.4153,1.20117,1.3965,0.0014258,0.0014258,0.0014258
89,31651.9,0.99371,0.72633,1.07455,0.80813,0.64545,0.73112,0.44659,1.38337,1.20891,1.38154,0.0014192,0.0014192,0.0014192
90,31931.1,1.03773,0.81786,1.15676,0.73369,0.60303,0.68811,0.3979,1.50805,1.33012,1.49147,0.0014126,0.0014126,0.0014126
91,32204.9,1.13289,0.88696,1.17417,0.87388,0.58788,0.73032,0.44253,1.44124,1.216,1.43047,0.001406,0.001406,0.001406
92,32493.2,1.02819,0.72362,1.0967,0.78268,0.64545,0.72969,0.44247,1.42037,1.14414,1.40784,0.0013994,0.0013994,0.0013994
93,32790.3,1.00812,0.75382,1.07494,0.83408,0.62424,0.7348,0.45773,1.37629,1.24309,1.37179,0.0013928,0.0013928,0.0013928
94,33111.6,1.02827,0.72615,1.10389,0.69622,0.6303,0.69695,0.42075,1.38546,1.24247,1.38749,0.0013862,0.0013862,0.0013862
95,33442.2,0.99892,0.68534,1.0826,0.72113,0.72727,0.75914,0.47057,1.3394,1.1316,1.34291,0.0013796,0.0013796,0.0013796
96,33722.3,1.016,0.74826,1.09163,0.80003,0.59394,0.71862,0.45229,1.36168,1.19125,1.35953,0.001373,0.001373,0.001373
97,34008.3,1.01722,0.6915,1.09398,0.81949,0.63333,0.73486,0.46405,1.3691,1.30296,1.38756,0.0013664,0.0013664,0.0013664
98,37052.5,1.04547,0.76722,1.16006,0.77286,0.6303,0.71517,0.4311,1.44109,1.15061,1.42527,0.0013598,0.0013598,0.0013598
99,42369.2,0.98954,0.68918,1.08043,0.80995,0.62121,0.75022,0.45165,1.40612,1.1203,1.40139,0.0013532,0.0013532,0.0013532
100,47232.1,1.01395,0.69084,1.09272,0.73661,0.65758,0.7321,0.45654,1.38013,1.12186,1.36647,0.0013466,0.0013466,0.0013466
101,51834.9,1.00063,0.70718,1.09361,0.77835,0.65978,0.72866,0.45338,1.39538,1.13705,1.37412,0.00134,0.00134,0.00134
102,56580.2,0.96704,0.67278,1.06201,0.842,0.6303,0.75627,0.47194,1.33238,1.12662,1.3434,0.0013334,0.0013334,0.0013334
103,61442.8,0.98613,0.69338,1.07297,0.73186,0.70303,0.73765,0.45514,1.37616,1.2116,1.3631,0.0013268,0.0013268,0.0013268
104,65658.7,1.04045,0.71625,1.13977,0.81506,0.61434,0.72598,0.44604,1.38364,1.179,1.37159,0.0013202,0.0013202,0.0013202
105,70211.4,0.95469,0.71054,1.06521,0.77226,0.66667,0.7334,0.43792,1.43637,1.21266,1.41199,0.0013136,0.0013136,0.0013136
106,73873,0.98466,0.6775,1.08618,0.76375,0.64545,0.71925,0.44919,1.36449,1.14924,1.37336,0.001307,0.001307,0.001307
107,78510.8,1.00003,0.72013,1.12264,0.73714,0.62121,0.68336,0.41535,1.48349,1.20701,1.43693,0.0013004,0.0013004,0.0013004
108,80577.8,0.96022,0.66076,1.06498,0.7791,0.63939,0.71879,0.44905,1.40417,1.18342,1.40486,0.0012938,0.0012938,0.0012938
109,80828.8,0.95149,0.664,1.05475,0.77957,0.63636,0.7451,0.4703,1.36158,1.13259,1.3727,0.0012872,0.0012872,0.0012872
110,81084.9,0.97261,0.68891,1.08696,0.85742,0.63781,0.74657,0.45429,1.36936,1.20627,1.33816,0.0012806,0.0012806,0.0012806
111,81336.7,0.92298,0.64179,1.05311,0.69566,0.6697,0.73203,0.45599,1.33703,1.1567,1.33691,0.001274,0.001274,0.001274
112,81591.8,0.93547,0.69591,1.03715,0.77787,0.63939,0.72713,0.43569,1.38472,1.21115,1.37791,0.0012674,0.0012674,0.0012674
113,81847.9,0.9509,0.66892,1.07675,0.76934,0.67273,0.73531,0.45946,1.36759,1.13414,1.35657,0.0012608,0.0012608,0.0012608
114,82104.5,0.94022,0.65203,1.04125,0.74554,0.6697,0.71528,0.44019,1.39144,1.27299,1.3629,0.0012542,0.0012542,0.0012542
115,82362.2,0.93962,0.64632,1.05412,0.76704,0.64853,0.7381,0.44413,1.41799,1.16888,1.40356,0.0012476,0.0012476,0.0012476
116,82622.8,0.93485,0.67638,1.04663,0.82382,0.63333,0.74175,0.45881,1.40273,1.25978,1.38449,0.001241,0.001241,0.001241
117,82884.9,0.91699,0.6535,1.05844,0.77712,0.65509,0.73551,0.45688,1.35599,1.23887,1.34442,0.0012344,0.0012344,0.0012344
118,83146.9,0.95065,0.65613,1.05578,0.79718,0.60606,0.7046,0.44076,1.35788,1.18591,1.37073,0.0012278,0.0012278,0.0012278
119,83411.1,0.88439,0.60501,1.03586,0.83478,0.59394,0.71792,0.44379,1.43238,1.25118,1.42216,0.0012212,0.0012212,0.0012212
120,83692,0.91811,0.63682,1.07063,0.76583,0.62727,0.71028,0.43864,1.42897,1.23846,1.3881,0.0012146,0.0012146,0.0012146
121,84184.5,0.92005,0.62661,1.04847,0.77713,0.63333,0.7246,0.44907,1.40145,1.17721,1.39786,0.001208,0.001208,0.001208
122,84484.4,0.95159,0.65395,1.06321,0.7516,0.66016,0.7329,0.45245,1.3524,1.19926,1.35101,0.0012014,0.0012014,0.0012014
123,84770.8,0.89921,0.64796,1.04372,0.75997,0.67879,0.73391,0.47383,1.32601,1.18646,1.31516,0.0011948,0.0011948,0.0011948
124,85086.7,0.89174,0.60257,1.0495,0.79542,0.64242,0.72955,0.46201,1.35996,1.20452,1.37569,0.0011882,0.0011882,0.0011882
125,85393.4,0.91965,0.62895,1.03529,0.79333,0.6303,0.74567,0.46813,1.35576,1.11416,1.37569,0.0011816,0.0011816,0.0011816
126,85705.7,0.89549,0.62493,1.04707,0.76418,0.69722,0.74704,0.47133,1.39264,1.1123,1.35058,0.001175,0.001175,0.001175
127,85984.1,0.92236,0.6326,1.03999,0.77474,0.65152,0.7487,0.46572,1.35223,1.10396,1.3349,0.0011684,0.0011684,0.0011684
128,86248.4,0.9281,0.63399,1.05424,0.80907,0.60353,0.72667,0.45401,1.35957,1.17945,1.35207,0.0011618,0.0011618,0.0011618
129,86528.5,0.90571,0.61064,1.04478,0.81382,0.63333,0.73052,0.4691,1.35697,1.18426,1.36493,0.0011552,0.0011552,0.0011552
130,86812.5,0.8904,0.60158,1.03137,0.83981,0.63549,0.73918,0.46788,1.34301,1.13784,1.34655,0.0011486,0.0011486,0.0011486
131,87097.4,1.00879,0.65211,1.17228,0.73035,0.68122,0.72596,0.45298,1.40412,1.20763,1.36803,0.001142,0.001142,0.001142
132,87387.5,0.89862,0.62566,1.0331,0.7261,0.63463,0.71143,0.44377,1.38794,1.18492,1.36272,0.0011354,0.0011354,0.0011354
133,87703.8,0.87692,0.61129,1.03888,0.76378,0.65152,0.71715,0.45013,1.35498,1.15742,1.38551,0.0011288,0.0011288,0.0011288
134,88043.5,0.89699,0.6155,1.03027,0.7685,0.63377,0.71273,0.45022,1.33344,1.18628,1.34563,0.0011222,0.0011222,0.0011222
135,88353.4,0.90163,0.59589,1.04932,0.80126,0.65152,0.73016,0.45019,1.38485,1.17107,1.36449,0.0011156,0.0011156,0.0011156
136,88649.7,0.88642,0.59986,1.02611,0.81383,0.6226,0.71073,0.44815,1.41731,1.22434,1.40933,0.001109,0.001109,0.001109
137,88928.1,0.92084,0.60873,1.0417,0.78056,0.65152,0.72582,0.45331,1.40243,1.17414,1.38614,0.0011024,0.0011024,0.0011024
138,89202.7,0.92054,0.61881,1.04353,0.7772,0.62424,0.72672,0.46118,1.38401,1.17907,1.38318,0.0010958,0.0010958,0.0010958
139,89488,0.87743,0.60092,1.03305,0.73432,0.67005,0.72598,0.4697,1.35057,1.15547,1.35081,0.0010892,0.0010892,0.0010892
140,89810.7,0.89033,0.61654,1.02143,0.68149,0.60606,0.64982,0.40457,1.42722,1.4174,1.4139,0.0010826,0.0010826,0.0010826
